Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-12-15 16:36:36,2024-12-16 16:54:37,MARC O'POLO,-453.00,0.00,RON,COMPLETED,756.83
EXCHANGE,Current,2024-12-16 21:44:55,2024-12-16 21:44:55,Exchanged to RON,707.85,0.00,RON,COMPLETED,1464.68
TOPUP,Current,2024-12-16 21:47:16,2024-12-16 21:47:17,Apple Pay Top-Up by *4109,2000.00,0.00,RON,COMPLETED,3464.68
TRANSFER,Current,2024-12-16 21:48:13,2024-12-16 21:48:13,To LAURENTIU-IRINEL STAVARACHE,-2250.00,0.00,RON,COMPLETED,1214.68
CARD_PAYMENT,Current,2024-12-16 14:53:18,2024-12-17 17:59:58,Mega Image,-42.18,0.00,RON,COMPLETED,1172.50
CARD_PAYMENT,Current,2024-12-17 17:50:53,2024-12-18 15:56:18,Primark,-79.00,0.00,RON,COMPLETED,1093.50
CARD_PAYMENT,Current,2024-12-17 18:21:52,2024-12-18 17:15:45,Amano,-13.00,0.00,RON,COMPLETED,1080.50
CARD_PAYMENT,Current,2024-12-18 19:28:32,2024-12-19 14:50:22,Mega Image,-101.82,0.00,RON,COMPLETED,978.68
CARD_PAYMENT,Current,2024-12-18 20:33:44,2024-12-19 15:04:57,LUKOIL,-178.39,0.00,RON,COMPLETED,800.29
CARD_PAYMENT,Current,2024-12-17 10:23:30,2024-12-19 15:12:01,Ted's Coffee Co.,-40.00,0.00,RON,COMPLETED,760.29
CARD_PAYMENT,Current,2024-12-17 08:44:59,2024-12-19 15:27:41,Metrorex,-3.00,0.00,RON,COMPLETED,757.29
CARD_PAYMENT,Current,2024-12-17 10:07:22,2024-12-19 15:27:47,Metrorex,-3.00,0.00,RON,COMPLETED,754.29
CARD_PAYMENT,Current,2024-12-19 18:24:29,2024-12-20 15:09:48,Glovo,-62.69,0.00,RON,COMPLETED,691.60
CARD_PAYMENT,Current,2024-12-19 17:52:35,2024-12-20 15:10:25,Mega Image,-136.65,0.00,RON,COMPLETED,554.95
TOPUP,Current,2024-12-21 12:05:02,2024-12-21 12:05:03,Apple Pay Top-Up by *4109,500.00,0.00,RON,COMPLETED,1054.95
CARD_PAYMENT,Current,2024-12-19 16:16:38,2024-12-21 14:33:08,Davian New Enterprise,-27.00,0.00,RON,COMPLETED,1027.95
CARD_PAYMENT,Current,2024-12-20 16:23:31,2024-12-21 14:43:01,Lidl,-243.96,0.00,RON,COMPLETED,783.99
CARD_PAYMENT,Current,2024-12-21 14:52:23,2024-12-22 14:34:04,Frtidealconsultsrl,-25.00,0.00,RON,COMPLETED,758.99
CARD_PAYMENT,Current,2024-12-21 15:40:14,2024-12-22 14:34:10,Frtidealconsultsrl,-5.00,0.00,RON,COMPLETED,753.99
CARD_PAYMENT,Current,2024-12-20 15:52:50,2024-12-22 14:41:01,Prod Com Anghel,-37.00,0.00,RON,COMPLETED,716.99
CARD_PAYMENT,Current,2024-12-20 15:50:02,2024-12-22 14:49:51,Ateșpan,-8.00,0.00,RON,COMPLETED,708.99
CARD_PAYMENT,Current,2024-12-22 03:49:34,2024-12-23 08:04:05,Everai,-62.07,0.62,RON,COMPLETED,646.30
CARD_PAYMENT,Current,2024-12-21 17:44:35,2024-12-23 15:47:17,Magnolia Village,-28.00,0.00,RON,COMPLETED,618.30
CARD_PAYMENT,Current,2024-12-21 14:23:38,2024-12-23 16:02:46,Catena,-3.50,0.00,RON,COMPLETED,614.80
CARD_PAYMENT,Current,2024-12-23 20:54:00,2024-12-24 14:39:57,Sephora,-125.00,0.00,RON,COMPLETED,489.80
CARD_PAYMENT,Current,2024-12-20 15:45:40,2024-12-24 14:55:03,Farmacia Ana Maria,-60.44,0.00,RON,COMPLETED,429.36
CARD_PAYMENT,Current,2024-12-23 20:20:27,2024-12-24 19:51:55,Sinsay,-19.99,0.00,RON,COMPLETED,409.37
CARD_PAYMENT,Current,2024-12-23 19:43:26,2024-12-25 15:19:35,ProfiArt,-119.60,0.00,RON,COMPLETED,289.77
CARD_PAYMENT,Current,2024-12-23 13:45:22,2024-12-25 15:22:11,Farmacia Ana Maria,-59.80,0.00,RON,COMPLETED,229.97
EXCHANGE,Current,2024-12-27 10:38:10,2024-12-27 10:38:10,Exchanged to RON,453.68,0.00,RON,COMPLETED,683.65
CARD_PAYMENT,Current,2024-12-27 16:58:50,2024-12-28 15:23:04,Lidl,-198.62,0.00,RON,COMPLETED,485.03
CARD_PAYMENT,Current,2024-12-31 13:14:28,2025-01-01 15:26:42,Mega Image,-6.79,0.00,RON,COMPLETED,478.24
CARD_PAYMENT,Current,2024-12-31 13:09:53,2025-01-01 15:27:46,Mega Image,-221.50,0.00,RON,COMPLETED,256.74
CARD_PAYMENT,Current,2024-12-31 12:50:25,2025-01-01 15:30:14,Lidl,-191.32,0.00,RON,COMPLETED,65.42
